Date,End_NAV,Cash_Flow,Fee_Internal,Tax_Internal,Externe_Steuer
2023-01-01,100293.85,1500,20,0,0
2023-01-08,100365.46,0,30,0,0
2023-01-15,100712.15,0,0,0,-50
2023-01-22,101365.21,-1000,30,0,0
2023-01-29,101403.26,0,0,100,-50
2023-02-05,101441.31,1500,30,0,-100
2023-02-12,102114.03,0,20,0,0
2023-02-19,102502.63,0,0,100,0
2023-02-26,102458.32,-1000,20,0,0
2023-03-05,102768.21,1500,0,100,0
2023-03-12,102726.02,0,20,0,-50
2023-03-19,102683.01,1500,20,0,0
2023-03-26,102887.7,-1000,0,0,-100
2023-04-02,102338.05,-1000,0,100,-100
2023-04-09,101854.33,1500,0,0,0
2023-04-16,101777.53,-1000,0,0,0
2023-04-23,101543.04,1500,30,100,0
2023-04-30,101773.02,0,0,0,0
2023-05-07,101575.22,1500,0,0,-100
2023-05-14,101200.91,1500,20,0,0
2023-05-21,101833.89,-1000,0,0,0
2023-05-28,101874.87,-1000,30,0,0
2023-06-04,102018.5,0,20,0,-100
2023-06-11,101639.84,0,0,100,-100
2023-06-18,101569.3,0,0,0,-50
2023-06-25,101728.13,0,20,100,0
2023-07-02,101445.28,1500,0,0,-50
2023-07-09,101696.77,-1000,20,0,-100
2023-07-16,101606.55,0,0,0,-100
2023-07-23,101624.46,0,0,0,0
2023-07-30,101533.86,0,30,0,0
2023-08-06,102302.16,0,0,0,-50
2023-08-13,102417.43,1500,30,100,-100
2023-08-20,102167.23,-1000,0,0,-100
2023-08-27,102575.13,0,20,0,-50
2023-09-03,102267.83,0,0,0,0
2023-09-10,102460.93,-1000,30,0,-100
2023-09-17,101895.05,-1000,0,0,0
2023-09-24,101550.18,0,30,0,-100
2023-10-01,101739.08,0,0,100,0
2023-10-08,102117.55,0,30,0,-50
2023-10-15,102297.53,-1000,30,100,0
2023-10-22,102377.05,0,0,100,-50
2023-10-29,102391.66,0,30,0,0
2023-11-05,101994.18,1500,0,0,-50
2023-11-12,101862.24,0,30,100,0
2023-11-19,101821.01,0,20,0,0
2023-11-26,102311.0,1500,20,0,0
2023-12-03,102551.27,1500,20,100,0
2023-12-10,102054.21,1500,30,0,0
2023-12-17,102287.64,-1000,0,0,-100
2023-12-24,102272.86,0,0,0,-100
2023-12-31,102155.93,-1000,30,0,0
2024-01-07,102490.02,1500,20,0,0
2024-01-14,102970.87,0,20,0,0
2024-01-21,103416.82,-1000,0,0,-50
2024-01-28,103243.09,-1000,20,0,-50
2024-02-04,103254.87,1500,0,0,0
2024-02-11,103490.81,0,0,100,-100
2024-02-18,103952.25,1500,20,0,-100
2024-02-25,103904.54,0,0,100,0
2024-03-03,103959.56,0,0,0,0
2024-03-10,103692.34,0,0,0,-50
2024-03-17,103393.67,0,0,0,-100
2024-03-24,103798.05,0,0,0,0
2024-03-31,104392.74,1500,0,0,-50
2024-04-07,104487.53,0,0,100,-100
2024-04-14,104958.77,0,30,0,0
2024-04-21,105205.34,-1000,0,100,-50
2024-04-28,105099.55,0,0,0,-100
2024-05-05,105346.04,-1000,20,0,-100
2024-05-12,106004.35,0,0,100,-50
2024-05-19,106111.81,0,20,100,0
2024-05-26,106779.44,-1000,30,100,-50
2024-06-02,105982.53,1500,0,100,-100
2024-06-09,106390.19,0,0,0,0
2024-06-16,106540.66,0,30,0,0
2024-06-23,106556.01,-1000,0,0,-50
2024-06-30,106708.12,1500,30,100,-100
2024-07-07,106132.48,1500,30,100,0
2024-07-14,106175.59,0,30,100,-100
2024-07-21,106420.58,1500,0,0,-50
2024-07-28,107057.84,1500,20,100,0
2024-08-04,106996.45,1500,30,100,-100
2024-08-11,106833.48,0,0,100,0
2024-08-18,106777.86,0,0,0,-50
2024-08-25,107218.25,0,30,0,-100
2024-09-01,107453.31,-1000,30,100,0
2024-09-08,107387.9,0,0,0,-50
2024-09-15,107687.54,0,20,0,0
2024-09-22,107841.52,-1000,20,0,0
2024-09-29,108300.54,0,20,0,0
2024-10-06,108174.83,1500,30,0,0
2024-10-13,108180.14,-1000,30,0,-50
2024-10-20,108162.91,1500,30,100,0
2024-10-27,107770.68,0,0,0,-50
2024-11-03,107994.32,0,0,0,0
2024-11-10,108205.69,-1000,30,0,0
2024-11-17,108327.48,-1000,0,100,-50
2024-11-24,108365.37,0,0,0,-50
2024-12-01,107989.99,0,20,0,0
2024-12-08,107962.77,1500,0,100,-50
2024-12-15,107962.82,-1000,30,0,-50
2024-12-22,107802.02,0,20,0,0
2024-12-29,107865.57,0,20,100,-50
2025-01-05,108126.99,0,30,0,-100
2025-01-12,108907.15,0,0,0,0
2025-01-19,109088.25,0,20,0,0
2025-01-26,109298.4,1500,0,0,0
2025-02-02,109392.34,-1000,0,0,-100
2025-02-09,108840.77,0,0,0,0
2025-02-16,108951.49,-1000,0,0,0
2025-02-23,109092.57,0,0,0,0
2025-03-02,110074.71,0,20,0,-50
2025-03-09,110127.38,0,20,0,0
2025-03-16,110352.92,1500,0,100,0
2025-03-23,110460.77,0,30,0,-100
2025-03-30,110171.74,0,0,0,0
2025-04-06,110691.72,0,0,0,0
2025-04-13,111074.9,0,0,0,0
