Date,Currency,RateToBase
2022-12-15,USD,0.922
2022-12-22,USD,0.9219
2022-12-29,USD,0.9224
2023-01-05,USD,0.9223
2023-01-12,USD,0.9222
2023-01-19,USD,0.9217
2023-01-26,USD,0.9217
2023-02-02,USD,0.9222
2023-02-09,USD,0.9239
2023-02-16,USD,0.922
2023-02-23,USD,0.9236
2023-03-02,USD,0.9241
2023-03-09,USD,0.9238
2023-03-16,USD,0.9232
2023-03-23,USD,0.9243
2023-03-30,USD,0.9245
2023-04-06,USD,0.923
2023-04-13,USD,0.9233
2023-04-20,USD,0.9245
2023-04-27,USD,0.9253
2023-05-04,USD,0.9247
2023-05-11,USD,0.9234
2023-05-18,USD,0.923
2023-05-25,USD,0.9263
2023-06-01,USD,0.9248
2023-06-08,USD,0.9239
2023-06-15,USD,0.9243
2023-06-22,USD,0.9242
2023-06-29,USD,0.924
2023-07-06,USD,0.926
2023-07-13,USD,0.9251
2023-07-20,USD,0.9251
2023-07-27,USD,0.9253
2023-08-03,USD,0.9245
2023-08-10,USD,0.9231
2023-08-17,USD,0.9234
2023-08-24,USD,0.9252
2023-08-31,USD,0.9256
2023-09-07,USD,0.9257
2023-09-14,USD,0.9257
2023-09-21,USD,0.9255
2023-09-28,USD,0.9267
2023-10-05,USD,0.9262
2023-10-12,USD,0.9248
2023-10-19,USD,0.9232
2023-10-26,USD,0.9233
2023-11-02,USD,0.9244
2023-11-09,USD,0.9246
2023-11-16,USD,0.9243
2023-11-23,USD,0.9247
2023-11-30,USD,0.9249
2023-12-07,USD,0.9258
2023-12-14,USD,0.9271
2023-12-21,USD,0.9261
2023-12-28,USD,0.9238
2024-01-04,USD,0.9234
2024-01-11,USD,0.9224
2024-01-18,USD,0.9233
2024-01-25,USD,0.9225
2024-02-01,USD,0.9207
2024-02-08,USD,0.9201
2024-02-15,USD,0.9186
2024-02-22,USD,0.9202
2024-02-29,USD,0.9207
2024-03-07,USD,0.9213
2024-03-14,USD,0.9218
2024-03-21,USD,0.9227
2024-03-28,USD,0.9238
2024-04-04,USD,0.9233
2024-04-11,USD,0.9218
2024-04-18,USD,0.921
2024-04-25,USD,0.921
2024-05-02,USD,0.9184
2024-05-09,USD,0.9195
2024-05-16,USD,0.9176
2024-05-23,USD,0.9182
2024-05-30,USD,0.9181
2024-06-06,USD,0.9184
2024-06-13,USD,0.9179
2024-06-20,USD,0.9181
2024-06-27,USD,0.9176
2024-07-04,USD,0.9171
2024-07-11,USD,0.9162
2024-07-18,USD,0.9177
2024-07-25,USD,0.9181
2024-08-01,USD,0.9183
2024-08-08,USD,0.9174
2024-08-15,USD,0.9172
2024-08-22,USD,0.9162
2024-08-29,USD,0.9157
2024-09-05,USD,0.9145
2024-09-12,USD,0.9161
2024-09-19,USD,0.9153
2024-09-26,USD,0.9144
2024-10-03,USD,0.9131
2024-10-10,USD,0.9123
2024-10-17,USD,0.9118
2024-10-24,USD,0.9118
2024-10-31,USD,0.9111
2024-11-07,USD,0.9095
2024-11-14,USD,0.908
2024-11-21,USD,0.9087
2024-11-28,USD,0.9086
2024-12-05,USD,0.9092
2024-12-12,USD,0.91
2024-12-19,USD,0.9102
2024-12-26,USD,0.9089
2025-01-02,USD,0.9091
2025-01-09,USD,0.9105
2025-01-16,USD,0.9101
2025-01-23,USD,0.9104
2025-01-30,USD,0.9104
2025-02-06,USD,0.9118
2025-02-13,USD,0.9111
2025-02-20,USD,0.9123
2025-02-27,USD,0.9119
2025-03-06,USD,0.9112
2025-03-13,USD,0.9113
2025-03-20,USD,0.9116
2025-03-27,USD,0.9136
